UP;27;91;49;65;;;;;27;91;49;65
Correction;0;;;;;;;;245;;;
Annulation;0;;;;;;;;92;;;
DOWN;27;91;49;66;;;;;27;91;49;66
Maj;0;;;;;;;;0;;;
LEFT;27;91;49;68;;;;;27;91;49;68
RIGHT;27;91;49;67;;;;;27;91;49;67
CR;13;;;;;;;;10;;;
T;116;;;;;;;;84;;;
E;101;;;;;;;;69;;;
R;114;;;;;;;;82;;;
Y;121;;;;;;;;89;;;
PointVir;59;;;;;;;;43;;;
-;45;;;;;;;;61;;;
:;58;;;;;;;;42;;;
?;63;;;;;;;;47;;;
G;103;;;;;;;;71;;;
D;100;;;;;;;;68;;;
F;102;;;;;;;;70;;;
H;104;;;;;;;;72;;;
*;42;;;;;;;;91;;;
7;55;;;;;;;;39;;;
4;52;;;;;;;;36;;;
1;49;;;;;;;;33;;;
.;46;;;;;;;;62;;;
ESC;27;;;;;;;;27;;;
,;44;;;;;;;;60;;;
';39;;;;;;;;64;;;
Suite;0;;;;;;;;96;;;
Retour;0;;;;;;;;239;;;
Envoi;0;;;;;;;;125;;;
Repetition;0;;;;;;;;123;;;
B;98;;;;;;;;66;;;
C;99;;;;;;;;67;;;
V;118;;;;;;;;86;;;
N;110;;;;;;;;78;;;
0;48;;;;;;;;168;;;
8;56;;;;;;;;40;;;
5;85;;;;;;;;37;;;
2;50;;;;;;;;34;;;
Guide;0;;;;;;;;249;;;
Z;122;;;;;;;;90;;;
A;97;;;;;;;;65;;;
Sommaire;0;;;;;;;;94;;;
U;117;;;;;;;;85;;;
I;105;;;;;;;;73;;;
O;111;;;;;;;;79;;;
P;112;;;;;;;;80;;;
Fnct;0;;;;;;;;0;;;
S;115;;;;;;;;83;;;
Q;113;;;;;;;;81;;;
Ctrl;0;;;;;;;;0;;;
J;106;;;;;;;;74;;;
K;107;;;;;;;;75;;;
L;108;;;;;;;;76;;;
M;109;;;;;;;;77;;;
Connexion;0;;;;;;;;0;;;
X;120;;;;;;;;88;;;
W;119;;;;;;;;87;;;
Espace;32;;;;;;;;32;;;
#;35;;;;;;;;93;;;
9;57;;;;;;;;41;;;
6;54;;;;;;;;38;;;
3;51;;;;;;;;35;;;
